left_dataset,right_dataset,confidence_score
9566,2507,0.830411979595579
9579,18628,0.8142169206987245
9618,75481,0.8831272465164899
9648,15285,0.9876030947077952
9648,7845,0.9876030947077952
9648,21971,0.9817619894425026
9648,7796,0.9817619894425026
9648,17178,0.935561796344885
9648,24397,0.8507717586328525
9648,6789,0.8447005880674916
9648,10037,0.8398221371353716
9648,11576,0.8004209612491887
9706,3580,0.9099099728203384
9708,66838,0.8079337985784137
9713,863,0.8863994114679112
9722,42143,0.8070529630574618
9724,19929,0.8763791495584098
9772,51576,0.851426631815595
9846,29081,0.8186607069268932
9861,29194,0.8009243720883663
9864,7792,0.8163210760493953
9871,72708,0.8244669285908768
9878,91532,0.8622634831505824
9878,82599,0.8323398735564218
9878,91183,0.8151587340575815
9885,37964,0.8501904945304274
9886,75606,1.0
9886,75605,0.909435215716535
9952,960,0.8776257123446096
9962,37994,0.9100432064458452
10002,60389,0.9356857849407968
10002,60390,0.8224899912569517
10024,28136,0.9134828311919031
10054,39600,0.8390991181286461
10105,13544,0.8261946775208966
10105,11942,0.8018712254749675
10131,79654,0.8663440104738372
10142,1459,0.8960113201682537
10142,1468,0.817394460541502
10143,22412,0.8161020972444092
10181,14125,0.8341292501289386
10278,50364,0.8387901207156077
10278,40904,0.8162614204371489
10316,34190,0.8253811205414762
10344,47531,0.8020878309440034
10377,88348,0.875959650204311
10415,82344,0.9052354264633012
10461,9644,0.8094851673526577
10473,61716,0.853575852033496
10478,89673,0.9999999999999999
10483,39471,0.9269250757766008
10521,13022,0.9207815606595571
10628,39959,0.8071432616521228
10630,23558,0.863443851195729
10630,25268,0.8196436123688049
10651,85012,0.8555037192213102
10679,48160,0.9378696958216178
10692,9691,0.8245411965612753
10723,61333,0.9277273038843292
10729,85288,0.8337042800761855
10787,48659,1.0
10790,77549,0.8432077854485316
10793,61475,0.8556219631362754
10826,77616,0.84764927941399
10831,76806,0.8477034757837613
10853,24585,0.9252860420947611
10853,2552,0.8590354996014485
10853,11305,0.8486079412417713
10860,69011,0.8437201471687812
10871,18661,0.8898599371597947
10871,21021,0.8448106272562901
10871,10570,0.8415617358149678
10871,7275,0.8009023281686047
10875,59388,0.8366515118069686
10881,78084,1.0000000000000002
10923,81248,0.8041177665375815
10938,77150,0.9026227635541721
10938,77149,0.9026227635541721
11015,5061,0.8784314900525865
11021,15988,0.8508922725066091
11055,77505,0.8383113265494478
11092,90462,0.8940833399154692
11092,89562,0.8535327253214962
11094,70600,0.8613715778974576
11117,56318,0.8000419225500942
11129,22047,0.8249820173280299
11132,68101,0.8006922033434986
11132,67206,0.8006922033434986
11168,15191,0.8570506443182117
11168,15190,0.8528797278330466
11224,81279,1.0
11241,72732,0.9594320645576688
11242,13393,0.8501419311589098
11279,66627,0.9999999999999997
11279,66626,0.9683165782508903
11281,29571,0.8325305261315901
11285,45832,0.9177032995637545
11285,42760,0.9177032995637545
11292,82280,0.8195881877604388
11326,22412,0.8164156646810004
11360,88984,0.8425286091134913
11383,18730,0.8751718935015548
11434,72263,0.8071789042869331
11435,20654,0.8568197387059522
11435,17657,0.8474349002174321
11467,31843,0.8249493938750488
11474,80532,0.9224180107683873
11474,80531,0.8957585546958057
11488,66112,0.8398945746183321
11570,49804,0.8306655960736847
11570,48526,0.81391415613628
11606,75399,0.9428551020994217
11651,56523,1.0
11662,64889,0.8279257805534828
11688,66657,0.8200527449918421
11702,16233,0.8163864177876426
11719,82484,0.9999999999999999
11747,23104,0.8739940948129976
11747,24530,0.8412329372324122
11780,69873,0.8439500396342633
11796,58426,0.8967158787594184
11796,58425,0.8219891392162821
11812,21083,0.8749206150023239
11856,70366,0.8425838477201936
11874,15918,0.8829085565771895
11874,15917,0.8829085565771895
11905,36292,0.8414991429262675
11926,4845,0.8030238841524476
11955,27821,0.8125181799194796
11961,71207,0.8186844091137959
11994,6036,0.8144406601429427
12023,18628,0.8716947200074658
12023,5990,0.8329961771846062
12056,89475,0.8685757764476512
12101,18714,0.8641768421446755
12110,70725,0.8239542181032545
12127,19016,0.8620130302905465
12143,64502,0.8468156086450072
12143,64501,0.8468156086450072
12168,13982,0.9999999999999998
12178,10297,0.9609492036397648
12263,74486,0.9065532620696045
12278,33068,0.841587452567898
12315,81005,0.8195318338922797
12315,81004,0.8195318338922797
12338,68025,0.8140053068607023
12347,2408,0.8332544099124309
12354,15113,0.838032836361721
12354,15112,0.838032836361721
12363,81164,0.8504827689253373
12363,84426,0.8144198202838184
12451,40647,0.8247183432038933
12517,25023,0.9532620330568947
12520,43839,0.8847859699013664
12567,6613,0.8789024491411471
12651,36563,0.8019891096140744
12651,36562,0.8019891096140744
12666,76647,0.8357221285877323
12685,17723,0.9413892616949516
12685,17722,0.8198617137782571
12702,82271,0.8509463056611596
12717,58532,0.9910083269014305
12755,66192,0.8937121765847592
12757,70697,0.8037930129953501
12758,89636,0.8016420290559846
12815,44734,0.8684281977643149
12943,86268,0.8189455483071509
12943,86267,0.8189455483071509
13041,79358,0.8525623052939584
13106,22519,0.8339275609503464
13131,71801,0.9323672871216802
13146,10719,0.8531162395586217
13151,76151,0.8525118370242611
13241,72151,0.8236169527645788
13249,72531,0.9210302603110819
13275,45832,0.8315308189857663
13275,42760,0.8315308189857663
13372,36844,0.8552315146850757
13450,32136,0.8096051729338345
13456,36428,0.9337372432671341
13457,3604,0.9158242354112098
13513,13682,0.8577766836383335
13523,22289,0.8011474679171404
13558,87543,0.8473136519924074
13566,61503,0.9999999999999999
13598,85968,0.8741392507237399
13676,55681,0.9305688334832384
13682,71722,0.8113097782564729
13695,82433,0.8629355314889581
13719,39853,0.8179965117029474
13727,48250,0.8413534551675848
13740,37592,0.8033290929116114
13775,56819,0.8123061329240084
13785,63114,0.8822493982659031
13789,15285,0.8231639950062478
13789,7845,0.8231639950062478
13789,21971,0.8182954526017174
13789,7796,0.8182954526017174
13813,32055,0.8341421614042104
13815,81861,0.8071258348608118
13832,58293,0.8899859321386128
13879,6125,0.8924027615621035
13901,5593,0.8046097477887671
13913,12658,0.8066311929767553
13994,75527,0.8762057396085886
13994,75526,0.8762057396085886
14008,37181,0.8246713910671462
14042,75412,0.8540359876358831
14050,68501,0.8048499576803714
14059,25603,0.8909457381490067
14098,36915,0.8295783990473693
14186,28926,0.8681613380241099
14195,17866,0.8337297115799132
14220,82723,0.9270978678184438
14232,25459,1.0000000000000002
14235,23511,0.9104455200560521
14289,5263,0.9462468084594209
14291,86246,0.8039215290964868
14304,200,0.8477178452160478
14332,9936,0.8283720759662216
14373,18317,0.8134560470910923
14378,85525,0.861514665366675
14421,25366,0.8310979527028274
14450,65140,0.8510821590573101
14456,32545,0.8526028798460531
14465,6295,0.8410360856093054
14465,15493,0.8364779641225737
14467,83769,0.8691557442315322
14475,25261,0.8324215475295169
14501,4680,0.8582240262782065
14501,1966,0.8582240262782065
14552,31013,0.9024612900471531
14557,9460,0.847113159401059
14607,15285,0.8454383205709316
14607,7845,0.8454383205709316
14607,21971,0.840438038319661
14607,7796,0.840438038319661
14607,17178,0.8008883306771805
14644,403,0.8235979157903452
14701,25366,0.8749465959506999
14727,60102,0.896415846215353
14727,59239,0.896415846215353
14741,15609,0.8280994925178885
14741,22873,0.8083917339702179
14752,47313,0.8933809387538098
14753,16501,0.9470352687807058
14759,81164,0.9885633373003415
14759,84426,0.9466453700415828
14771,26144,0.8499411463495306
14771,13614,0.8465054111820505
14821,82510,0.801169092118385
14882,5076,0.8961726446366546
14882,5075,0.8661564500352699
14930,28497,0.9124414005943365
14981,85855,0.8339360020289082
15000,458,1.0
15046,49262,0.8624293955111787
15124,50364,0.8047542814330159
15127,61639,0.8508974086370515
15207,10059,0.9156412572367298
15231,12998,0.8030633404558037
15232,84109,0.9685304592392215
15232,84108,0.8465872406702845
15279,25595,0.804398990047909
15302,80490,0.8055808988732082
